tweet_id,term,pos,pos_fre,neg_fre,label
715,tolong,v,5,0,0
715,cek,n,2,0,0
716,cek,n,2,0,0
716,bonus,n,1,0,0
716,isi,n,1,0,0
716,bonus,n,1,0,0
717,cek,n,2,0,1
718,maaf,n,0,1,1
718,nyaman,adj,3,1,1
719,maaf,n,0,1,1
719,proses,n,0,1,1
720,cek,n,2,0,1
721,maaf,n,0,1,1
721,cek,n,2,0,1
721,masuk,v,1,0,1
721,cek,n,2,0,1
722,cek,n,2,0,1
723,tolong,v,5,0,0
723,belakang,n,1,1,0
724,salam,n,3,0,1
725,tolong,v,5,0,1
725,cek,n,2,0,1
726,cek,n,2,0,1
726,kasih,n,4,0,1
727,cek,n,2,0,1
728,aplikasi,n,1,0,0
729,cek,n,2,0,1
730,hilang,v,0,10,0
731,cek,n,2,0,1
735,potong,n,1,1,0
736,tolong,v,5,0,0
737,tukar,v,1,1,0
737,tukar,v,1,1,0
737,proses,n,0,1,0
738,tolong,v,5,0,0
739,maaf,n,0,1,1
739,alam,n,1,1,1
739,cek,n,2,0,1
739,nama,n,1,0,1
741,mohon,v,1,0,1
741,maaf,n,0,1,1
741,jadi,v,1,1,1
741,kasih,n,4,0,1
742,ganggu,v,0,3,0
743,waktu,n,4,1,1
743,jadi,v,1,1,1
743,tanggal,v,1,0,1
744,maaf,n,0,1,1
744,alam,n,1,1,1
744,masuk,v,1,0,1
745,pas,n,1,0,0
745,tanggal,v,1,0,0
745,jatuh,v,3,12,0
746,tolong,v,5,0,0
746,baik,adj,12,0,0
746,daerah,n,4,2,0
746,parah,adj,1,4,0
747,mohon,v,1,0,1
747,maaf,n,0,1,1
747,mohon,v,1,0,1
747,nama,n,1,0,1
748,balas,v,0,1,1
748,cek,n,2,0,1
748,salam,n,3,0,1
749,ganggu,v,0,3,0
749,isi,n,1,0,0
749,buka,v,1,2,0
750,mohon,v,1,0,1
750,maaf,n,0,1,1
750,alam,n,1,1,1
750,balas,v,0,1,1
752,baik,adj,12,0,1
752,maaf,n,0,1,1
752,nama,n,1,0,1
752,sisa,n,0,1,1
753,mohon,v,1,0,1
753,cek,n,2,0,1
753,kasih,n,4,0,1
754,maaf,n,0,1,1
754,alam,n,1,1,1
754,lengkap,adj,3,0,1
754,balas,v,0,1,1
755,masuk,v,1,0,0
756,maaf,n,0,1,1
756,alam,n,1,1,1
756,izin,n,1,0,1
758,cek,n,2,0,1
758,masuk,v,1,0,1
759,kali,n,1,0,0
761,maaf,n,0,1,1
761,nyaman,adj,3,1,1
762,cek,n,2,0,1
763,lambat,adj,0,3,0
764,mohon,v,1,0,0
765,mohon,v,1,0,1
765,cek,n,2,0,1
766,kasih,n,4,0,1
767,mikro,adj,0,1,1
768,maaf,n,0,1,1
768,potong,n,1,1,1
768,nama,n,1,0,1
768,sisa,n,0,1,1
770,nama,n,1,0,0
771,kecewa,adj,0,3,0
771,kompensasi,n,0,1,0
771,ganggu,v,0,3,0
771,mati,v,1,4,0
773,baik,adj,12,0,1
773,maaf,n,0,1,1
773,agar,k,1,0,1
773,cek,n,2,0,1
774,salam,n,3,0,1
775,selamat,adj,3,2,1
775,mohon,v,1,0,1
775,cek,n,2,0,1
777,masuk,v,1,0,1
780,maaf,n,0,1,1
780,nama,n,1,0,1
782,maaf,n,0,1,1
782,nyaman,adj,3,1,1
782,balas,v,0,1,1
782,cek,n,2,0,1
784,lambat,adj,0,3,0
786,ada,v,5,0,0
787,lambat,adj,0,3,0
787,kali,n,1,0,0
787,kali,n,1,0,0
787,lambat,adj,0,3,0
787,lancar,adj,2,2,0
788,lambat,adj,0,3,0
793,maaf,n,0,1,1
793,alam,n,1,1,1
793,pasti,adj,6,6,1
793,turun,v,1,6,1
794,isi,n,1,0,0
794,mohon,v,1,0,0
794,cek,n,2,0,0
795,masalah,n,2,7,0
795,tuntas,adj,1,0,0
796,maaf,n,0,1,1
796,alam,n,1,1,1
796,agar,k,1,0,1
796,cek,n,2,0,1
796,gagal,v,0,11,1
798,gagal,v,0,11,0
799,balas,v,0,1,1
799,alam,n,1,1,1
799,cek,n,2,0,1
800,problem,n,0,1,1
801,maaf,n,0,1,1
801,nyaman,adj,3,1,1
801,manual,adj,0,1,1
802,lambat,adj,0,3,0
802,kaya,adj,2,2,0
804,sukses,adj,1,0,0
804,buat,v,1,1,0
804,sehat,adj,2,0,0
805,tarik,v,0,1,1
805,ikut,v,3,1,1
807,kek,n,0,1,0
807,hamba,n,1,2,0
808,maaf,n,0,1,1
808,alam,n,1,1,1
808,masalah,n,2,7,1
808,balas,v,0,1,1
809,mohon,v,1,0,1
809,cek,n,2,0,1
809,lupa,v,1,1,1
809,jaga,v,4,4,1
809,sehat,adj,2,0,1
810,sungguh,adj,0,2,0
810,kasih,n,4,0,0
811,lebar,adj,2,0,0
812,wajar,adj,14,1,0
812,kesal,adj,0,1,0
812,isi,n,1,0,0
812,potong,n,1,1,0
813,balas,v,0,1,1
813,cek,n,2,0,1
814,mohon,v,1,0,1
814,cek,n,2,0,1
815,cek,n,2,0,1
816,nama,n,1,0,0
818,baik,adj,12,0,1
818,salam,n,3,0,1
820,maaf,n,0,1,1
820,alam,n,1,1,1
820,masalah,n,2,7,1
820,balas,v,0,1,1
821,cek,n,2,0,1
823,maaf,n,0,1,1
823,nyaman,adj,3,1,1
823,pasti,adj,6,6,1
824,tahu,v,4,0,0
825,cek,n,2,0,1
826,hilang,v,0,10,0
827,mohon,v,1,0,1
827,maaf,n,0,1,1
827,pasti,adj,6,6,1
829,main,v,3,0,0
830,gila,adj,4,9,0
830,hilang,v,0,10,0
830,ubah,v,0,1,0
831,telat,adj,0,1,0
832,susah,adj,2,10,0
832,susah,adj,2,10,0
832,cek,n,2,0,0
833,maaf,n,0,1,1
833,potong,n,1,1,1
833,cek,n,2,0,1
833,nama,n,1,0,1
836,tolong,v,5,0,1
836,cek,n,2,0,1
837,cek,n,2,0,1
838,maaf,n,0,1,1
838,alam,n,1,1,1
838,aplikasi,n,1,0,1
838,jalan,n,1,1,1
839,mohon,v,1,0,0
840,maaf,n,0,1,1
840,alam,n,1,1,1
840,masalah,n,2,7,1
840,balas,v,0,1,1
841,sumpah,n,1,2,0
841,emosi,n,2,0,0
841,lambat,adj,0,3,0
842,cek,n,2,0,1
843,maaf,n,0,1,1
843,alam,n,1,1,1
843,masalah,n,2,7,1
843,balas,v,0,1,1
844,tolong,v,5,0,0
846,ganggu,v,0,3,0
846,kerja,n,3,1,0
847,tangan,n,2,0,1
847,hasil,n,3,2,1
849,tolong,v,5,0,0
