,ID,tweet_id,term,pos,pos_fre,neg_fre,label,fea_weight,normalize_weight
122,122,54,zodiak,n,2,1,1,-1.9336064526478551,0.6103720239121453
123,123,55,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
124,124,55,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
125,125,55,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
126,126,55,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
127,127,56,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
128,128,57,wilayah,n,4,2,0,-2.6907816290195625,0.2189925863056248
129,129,57,tolong,v,6,1,0,-3.9131740503560106,-0.41285493501653425
130,130,57,baik,adj,13,1,0,-4.913174050356011,-0.9297491093368863
131,131,58,bulan,n,2,1,0,-2.6907816290195625,0.2189925863056248
132,132,60,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
133,133,60,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
134,134,60,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
135,135,61,tolong,v,6,1,1,-1.5710363732631472,0.7977823857289685
136,136,61,cek,n,3,1,1,-1.7636814512055428,0.698205267229054
137,137,61,kasih,n,5,1,1,-1.611678357760493,0.7767747807094725
138,138,63,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
139,139,63,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
140,140,64,wahyu,n,2,2,1,-2.3486439519266993,0.39584155841042357
141,141,64,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
142,142,65,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
143,143,66,mati,v,2,5,0,-1.5912459554686484,0.7873361704214967
144,144,66,set,n,2,1,0,-2.6907816290195625,0.2189925863056248
145,145,67,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
146,146,67,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
147,147,67,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
148,148,69,kualitas,n,4,1,1,-1.6705720468140612,0.7463329759334487
149,149,70,maya,n,2,2,0,-2.1058191282984065,0.5213562951242552
150,150,70,rasa,n,6,4,0,-2.427747223185769,0.3549535383269278
151,151,70,alam,n,2,2,0,-2.1058191282984065,0.5213562951242552
152,152,71,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
153,153,72,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
154,154,72,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
155,155,72,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
156,156,76,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
157,157,76,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
158,158,77,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
159,159,77,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
160,160,77,alam,n,2,2,1,-2.3486439519266993,0.39584155841042357
161,161,77,main,v,4,1,1,-1.6705720468140612,0.7463329759334487
162,162,77,ganggu,v,1,4,1,-3.6705720468140615,-0.2874553727072554
163,163,77,agar,k,2,1,1,-1.9336064526478551,0.6103720239121453
164,164,79,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
165,165,80,gada,n,2,1,0,-2.6907816290195625,0.2189925863056248
166,166,80,bonus,n,2,1,0,-2.6907816290195625,0.2189925863056248
167,167,81,kasih,n,5,1,1,-1.611678357760493,0.7767747807094725
168,168,81,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
169,169,81,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
170,170,81,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
171,171,82,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
172,172,82,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
173,173,83,kasih,n,5,1,1,-1.611678357760493,0.7767747807094725
174,174,83,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
175,175,83,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
176,176,83,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
177,177,84,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
178,178,84,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
179,179,84,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
180,180,84,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
181,181,85,kasih,n,5,1,1,-1.611678357760493,0.7767747807094725
182,182,85,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
183,183,85,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
184,184,86,lambat,adj,1,4,0,-1.427747223185769,0.8718477126472799
185,185,87,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
186,186,87,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
187,187,88,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
188,188,88,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
189,189,88,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
190,190,88,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
191,191,89,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
192,192,89,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
193,193,90,isi,n,2,1,0,-2.6907816290195625,0.2189925863056248
194,194,90,potong,n,2,2,0,-2.1058191282984065,0.5213562951242552
195,195,90,potong,n,2,2,0,-2.1058191282984065,0.5213562951242552
196,196,91,cek,n,3,1,0,-3.1058191282984065,0.004462120803903069
197,197,92,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
198,198,92,cek,n,3,1,1,-1.7636814512055428,0.698205267229054
199,199,95,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
200,200,96,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
201,201,96,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
202,202,98,mati,v,2,5,1,-3.155998873984303,-0.021475497410013644
203,203,98,lupa,v,2,2,1,-2.3486439519266993,0.39584155841042357
204,204,98,isi,n,2,1,1,-1.9336064526478551,0.6103720239121453
205,205,98,aktif,adj,7,3,1,-1.8632171247564575,0.6467558574335339
206,206,99,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
207,207,99,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
208,208,99,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
209,209,100,baca,v,2,1,0,-2.6907816290195625,0.2189925863056248
210,210,101,cek,n,3,1,0,-3.1058191282984065,0.004462120803903069
211,211,102,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
212,212,104,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
213,213,105,gagal,v,1,12,0,-1.2212963457183426,0.9785609684935175
214,214,105,mohon,v,2,1,0,-2.6907816290195625,0.2189925863056248
215,215,105,kasih,n,5,1,0,-3.6907816290195625,-0.2979015880147271
216,216,106,mohon,v,2,1,1,-1.9336064526478551,0.6103720239121453
217,217,106,maaf,n,1,2,1,-2.9336064526478554,0.0934778495917934
218,218,106,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
219,219,107,kaya,adj,3,3,0,-2.1058191282984065,0.5213562951242552
220,220,107,isi,n,2,1,0,-2.6907816290195625,0.2189925863056248
221,221,107,habis,v,3,1,0,-3.1058191282984065,0.004462120803903069
222,222,108,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
223,223,109,maya,n,2,2,1,-2.3486439519266993,0.39584155841042357
224,224,109,tunggu,v,1,2,1,-2.9336064526478554,0.0934778495917934
225,225,110,problem,n,1,2,0,-1.6907816290195627,0.7358867606259765
