,ID,tweet_id,term,pos,pos_fre,neg_fre,label,fea_weight,normalize_weight
1196,1196,727,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1197,1197,728,privasi,n,3,1,0,-3.264760737308047,0.040230457455926905
1198,1198,728,jaga,v,5,5,0,-2.264760737308047,0.5385533194968408
1199,1199,729,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
1200,1200,729,kerja,n,4,2,0,-2.849723238029203,0.2470531319508642
1201,1201,729,agar,k,2,1,0,-2.849723238029203,0.2470531319508642
1202,1202,730,suka,adj,4,2,0,-2.849723238029203,0.2470531319508642
1203,1203,730,stabil,adj,2,4,0,-1.8497232380292032,0.7453759939917779
1204,1204,730,sebal,adj,1,2,0,-1.8497232380292032,0.7453759939917779
1205,1205,731,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1206,1206,731,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1207,1207,732,masuk,v,2,1,0,-2.849723238029203,0.2470531319508642
1208,1208,733,murah,adj,3,5,1,-3.1261525994134067,0.10930206143374566
1209,1209,733,asa,n,2,2,1,-2.7111151001345632,0.31612473592868273
1210,1210,734,ada,v,6,1,1,-1.933507521471011,0.7036243700730092
1211,1211,734,kaya,adj,3,3,1,-2.7111151001345632,0.31612473592868273
1212,1212,735,malu,adj,3,4,0,-2.0721156593656507,0.6345527660951906
1213,1213,735,main,v,4,1,0,-3.586688832195409,-0.12019367215972221
1214,1214,735,tolong,v,6,1,0,-4.072115659365651,-0.3620929579866372
1215,1215,736,baik,adj,13,1,0,-5.072115659365651,-0.8604158200275511
1216,1216,736,mohon,v,2,1,0,-2.849723238029203,0.2470531319508642
1217,1217,736,kenan,v,1,2,0,-1.8497232380292032,0.7453759939917779
1218,1218,736,tunggu,v,1,2,0,-1.8497232380292032,0.7453759939917779
1219,1219,737,kasih,n,5,1,0,-3.849723238029203,-0.2512697300900496
1220,1220,738,bagus,adj,13,1,0,-5.072115659365651,-0.8604158200275511
1221,1221,739,privasi,n,3,1,0,-3.264760737308047,0.040230457455926905
1222,1222,739,jaga,v,5,5,0,-2.264760737308047,0.5385533194968408
1223,1223,740,maaf,n,1,2,0,-1.8497232380292032,0.7453759939917779
1224,1224,740,nyaman,adj,4,2,0,-2.849723238029203,0.2470531319508642
1225,1225,740,ceria,adj,6,1,0,-4.072115659365651,-0.3620929579866372
1226,1226,740,mohon,v,2,1,0,-2.849723238029203,0.2470531319508642
1227,1227,740,pasti,adj,7,7,0,-2.264760737308047,0.5385533194968408
1228,1228,741,mas,n,1,2,0,-1.8497232380292032,0.7453759939917779
1229,1229,742,mahal,adj,4,2,0,-2.849723238029203,0.2470531319508642
1230,1230,742,kaya,adj,3,3,0,-2.264760737308047,0.5385533194968408
1231,1231,743,aplikasi,n,2,1,0,-2.849723238029203,0.2470531319508642
1232,1232,743,makan,v,10,6,0,-2.6797982365868904,0.33173064500190375
1233,1233,743,habis,v,3,1,0,-3.264760737308047,0.040230457455926905
1234,1234,744,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1235,1235,744,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1236,1236,747,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1237,1237,749,nama,n,2,1,1,-2.2960776008557193,0.52294741042362
1238,1238,753,tolong,v,6,1,0,-4.072115659365651,-0.3620929579866372
1239,1239,753,ambil,v,2,1,0,-2.849723238029203,0.2470531319508642
1240,1240,753,ceria,adj,6,1,0,-4.072115659365651,-0.3620929579866372
1241,1241,756,murah,adj,3,5,0,-1.9428326424206845,0.69897744911249
1242,1242,756,harga,n,2,1,0,-2.849723238029203,0.2470531319508642
1243,1243,758,lambat,adj,1,4,0,-1.5866888321954091,0.8764520519221055
